13x20,55,100
15x20,60,105
16x20,65,110
16x24,75,***
20x24,75,120
20x26,85,130
20x30,95,140
24x30,130,170
24x32,150,***
24x36,180,230
30x40,300,***
30x50,375,***
30x75,562,***
30x100,750,***
30x150,"1,125",***
