3.5x5,50,6x6,85,9x9,125,12x12,200,15x15,260,18x18,335
3x6,53,6x7,90,9x10,131,12x13,212,15x16,273,18x19,352
3x7,55,6x8,95,9x11,138,12x14,225,15x17,287,18x20,369
3x8,58,6x9,100,9x12,145,12x15,238,15x18,301,18x21,388
3x9,61,6x10,105,9x13,152,12x16,255,15x19,316,18x22,407
3x10,64,6x11,110,9x14,160,12x17,272,15x20,332,18x23,428
3x11,67,6x12,115,9x15,168,12x18,280,15x21,348,18x24,449
3x12,70,6x13,121,9x16,176,12x19,294,15x22,366,18x25,471
3x13,74,6x14,127,9x17,185,12x20,309,15x23,384,18x26,495
3x14,78,6x15,134,9x18,194,12x21,324,15x24,403,18x27,520
3x15,81,6x16,140,9x19,204,12x22,340,15x25,424,18x28,546
3x16,85,6x17,150,9x20,215,12x23,357,15x26,445,18x29,573
4x4,65,7x7,100,10x10,170,13x13,215,16x16,285,19x19,345
4x5,70,7x8,105,10x11,175,13x14,226,16x17,299,19x20,362
4x6,75,7x9,110,10x12,182,13x15,237,16x18,314,19x21,380
4x7,79,7x10,116,10x13,185,13x16,249,16x19,330,19x22,399
4x8,83,7x11,122,10x14,191,13x17,261,16x20,350,19x23,419
4x9,87,7x12,128,10x15,200,13x18,274,16x21,368,19x24,440
4x10,91,7x13,134,10x16,206,13x19,288,16x22,386,19x25,462
4x11,96,7x14,141,10x17,212,13x20,303,16x23,405,19x26,485
4x12,101,7x15,148,10x18,219,13x21,318,16x24,425,19x27,510
4x13,106,7x16,155,10x19,225,13x22,334,16x25,447,19x28,535
4x14,111,7x17,163,10x20,232,13x23,350,16x26,469,19x29,562
4x15,115,7x18,170,10x21,239,13x24,368,16x27,492,19x30,590
5x5,75,8x8,110,11x11,180,14x14,250,17x17,300,20x20,380
5x6,79,8x9,115,11x12,189,14x15,260,17x18,315,20x21,399
5x7,85,8x10,120,11x13,198,14x16,270,17x19,331,20x22,419
5x8,89,8x11,130,11x14,208,14x17,281,17x20,347,20x23,440
5x9,94,8x12,140,11x15,219,14x18,292,17x21,365,20x24,470
5x10,98,8x13,147,11x16,230,14x19,304,17x22,383,20x25,494
5x11,103,8x14,154,11x17,241,14x20,316,17x23,402,20x26,518
5x12,108,8x15,162,11x18,253,14x21,329,17x24,422,20x27,544
5x13,114,8x16,170,11x19,266,14x22,342,17x25,443,20x28,571
5x14,120,8x17,179,11x20,279,14x23,356,17x26,465,20x29,622
5x15,126,8x18,188,11x21,293,14x24,370,17x27,489,20x30,620
5x16,132,8x19,195,11x22,308,14x25,385,17x28,513,,
